"pvalue","count"
"0.03209",1
"0.03214",1
"0.03225",1
"0.03228",1
"0.03235",2
"0.03262",1
"0.03266",1
"0.03267",1
"0.03281",1
"0.03301",1
"0.03302",1
"0.0332",1
"0.03324",1
"0.03344",1
"0.03345",1
"0.03348",1
"0.03356",1
"0.03367",1
"0.0337",1
"0.03378",1
"0.03384",1
"0.03395",1
"0.03404",1
"0.03406",1
"0.03434",1
"0.03441",1
"0.03443",1
"0.03445",1
"0.0345",1
"0.03462",1
"0.03471",1
"0.03473",1
"0.03481",2
"0.03487",1
"0.03488",1
"0.03501",1
"0.03508",1
"0.0355",1
"0.03554",1
"0.03555",1
"0.03558",1
"0.03574",2
"0.03587",1
"0.03588",1
"0.03595",1
"0.03599",1
"0.036",1
"0.03611",1
"0.03618",1
"0.03642",1
"0.03666",1
"0.03669",1
"0.03674",1
"0.03686",1
"0.03694",1
"0.03698",1
"0.03705",1
"0.03718",1
"0.03719",1
"0.03726",1
"0.03741",1
"0.0375",2
"0.03754",1
"0.03755",1
"0.03759",1
"0.03824",1
"0.03837",1
"0.0384",1
"0.03843",1
"0.0385",1
"0.03856",1
"0.03863",1
"0.03865",1
"0.03874",1
"0.03875",1
"0.03876",1
"0.039",1
"0.03901",1
"0.03903",1
"0.03904",1
"0.03907",1
"0.03911",1
"0.03918",1
"0.03931",1
"0.03939",1
"0.03941",1
"0.03942",1
"0.03943",1
"0.03944",1
"0.03945",1
"0.03946",1
"0.03967",1
"0.04",1
"0.04007",1
"0.04009",1
"0.04021",1
"0.04024",1
"0.04028",2
"0.04039",1
"0.04046",1
"0.04047",1
"0.0405",1
"0.04069",1
"0.0407",1
"0.04071",1
"0.04087",1
"0.0409",1
"0.04113",1
"0.04125",1
"0.04139",1
"0.04151",2
"0.04156",1
"0.04165",1
"0.04167",1
"0.04191",1
"0.04195",1
"0.0421",1
"0.04211",1
"0.04221",1
"0.04248",1
"0.04253",1
"0.04255",1
"0.04256",2
"0.04259",1
"0.04263",1
"0.04271",1
"0.04286",1
"0.04289",1
"0.04309",1
"0.04312",1
"0.04331",2
"0.04345",1
"0.04366",3
"0.04377",1
"0.04385",1
"0.04412",2
"0.04422",2
"0.04437",1
"0.04447",1
"0.04457",1
"0.0446",1
"0.04483",1
"0.04496",1
"0.045",1
"0.04507",1
"0.04524",1
"0.04527",1
"0.04541",2
"0.04544",1
"0.04549",1
"0.0456",1
"0.04574",1
"0.046",1
"0.04609",1
"0.04616",1
"0.04659",1
"0.04662",1
"0.04694",1
"0.04706",1
"0.0472",1
"0.04746",1
"0.04749",1
"0.04755",2
"0.04774",1
"0.04789",2
"0.04794",1
"0.04802",1
"0.04813",1
"0.0482",1
"0.04824",1
"0.04829",1
"0.04869",1
"0.04874",1
"0.04891",1
"0.04892",1
"0.049",1
"0.04956",1
"0.04963",1
"0.04973",1
"0.04994",1
"0.05001",1
"0.05009",1
"0.05019",1
"0.05041",1
"0.05092",1
"0.05098",1
"0.05123",1
"0.05124",1
"0.05125",1
"0.05127",1
"0.05138",1
"0.05175",1
"0.05185",1
"0.05192",1
"0.05208",1
"0.05214",1
"0.0522",1
"0.05243",1
"0.0525",1
"0.05251",1
"0.05258",1
"0.05294",1
"0.05306",1
"0.05319",1
"0.05326",1
"0.05329",1
"0.05335",1
"0.05338",1
"0.05353",1
"0.05361",1
"0.05374",1
"0.05388",1
"0.05412",1
"0.05427",1
"0.0546",1
"0.05478",1
"0.05486",2
"0.05505",1
"0.05523",1
"0.05529",1
"0.05547",1
"0.05552",1
"0.05554",1
"0.05556",1
"0.05574",1
"0.05575",1
"0.05582",1
"0.05589",1
"0.05596",1
"0.05601",1
"0.05603",1
"0.05629",1
"0.0564",1
"0.05641",1
"0.05665",1
"0.0569",1
"0.05732",1
"0.05737",1
"0.05739",1
"0.05759",1
"0.05788",1
"0.0581",1
"0.05844",1
"0.05855",1
"0.0586",1
"0.05864",1
"0.05865",1
"0.05868",1
"0.05879",1
"0.05881",1
"0.05894",1
"0.05902",1
"0.05903",2
"0.05926",1
"0.0595",1
"0.05953",1
"0.05957",1
"0.05973",1
"0.05975",1
"0.05981",1
"0.05993",1
"0.06",1
"0.0602",1
"0.06021",1
"0.06025",1
"0.06038",1
"0.06062",1
"0.06072",2
"0.06111",1
"0.06121",1
"0.06148",1
"0.0617",1
"0.06185",1
"0.06192",1
"0.06248",1
"0.06249",1
"0.06265",1
"0.06301",1
"0.06302",1
"0.06326",1
"0.06327",1
"0.06368",1
"0.0637",1
"0.06372",1
"0.06383",1
"0.06418",1
"0.06424",1
"0.06435",1
"0.06442",1
"0.06457",1
"0.06477",1
"0.06504",1
"0.06553",2
"0.06567",1
"0.06569",1
"0.06571",1
"0.06587",1
"0.06592",1
"0.06604",1
"0.06607",1
"0.06635",1
"0.06636",1
"0.06652",1
"0.06659",1
"0.0666",1
"0.06665",1
"0.06674",1
"0.06687",1
"0.067",1
"0.06714",1
"0.06728",1
"0.06753",1
"0.06769",1
"0.06818",1
"0.06828",1
"0.0685",1
"0.06876",1
"0.06879",1
"0.069",1
"0.06918",1
"0.06923",1
"0.06937",1
"0.06946",1
"0.06951",1
"0.06954",2
"0.06974",1
"0.06983",1
"0.07018",1
"0.07028",1
"0.07056",1
"0.0708",1
"0.07084",1
"0.07116",1
"0.07133",1
"0.07158",1
"0.07187",1
"0.07198",1
"0.07202",1
"0.07234",1
"0.07255",1
"0.07286",1
"0.07296",1
"0.07319",1
"0.07342",1
"0.07343",1
"0.07431",1
"0.07436",1
"0.07448",1
"0.07452",1
"0.07456",1
"0.07512",1
"0.07563",1
"0.07587",1
"0.07612",1
"0.07615",1
"0.07623",1
"0.07631",1
"0.07634",1
"0.07637",1
"0.07648",1
"0.0765",1
"0.07674",1
"0.07692",1
"0.07735",1
"0.07804",1
"0.07809",1
"0.07818",1
"0.07819",1
"0.07829",1
"0.0784",1
"0.07841",1
"0.07854",1
"0.0788",1
"0.07909",1
"0.07927",1
"0.07932",1
"0.07942",1
"0.0795",1
"0.07962",1
"0.07963",1
"0.07991",1
"0.08007",1
"0.0802",1
"0.08022",1
"0.08041",1
"0.08043",1
"0.08061",1
"0.08064",1
"0.08085",1
"0.08086",1
"0.08095",1
"0.08119",1
"0.08144",1
"0.0818",1
"0.08194",1
"0.08208",1
"0.08216",1
"0.08222",1
"0.08226",1
"0.08228",2
"0.08234",1
"0.08235",1
"0.08246",1
"0.08256",1
"0.0827",1
"0.08278",1
"0.08283",1
"0.08313",1
"0.08338",1
"0.08368",1
"0.08372",1
"0.08397",1
"0.08459",1
"0.08471",1
"0.08476",1
"0.08484",1
"0.08494",1
"0.0852",1
"0.08526",1
"0.08582",1
"0.08595",1
"0.08638",1
"0.08642",1
"0.08673",1
"0.087",1
"0.08703",1
"0.08715",1
"0.08728",1
"0.08751",1
"0.08757",1
"0.08806",1
"0.08819",1
"0.08854",1
"0.08877",1
"0.08896",1
"0.08902",1
"0.0892",1
"0.08983",1
"0.08984",1
"0.08995",1
"0.09024",1
"0.09056",1
"0.09063",1
"0.0908",1
"0.09125",1
"0.09138",1
"0.09146",1
"0.09199",1
"0.09221",1
"0.09236",1
"0.0924",1
"0.09247",1
"0.09252",1
"0.0927",1
"0.09276",1
"0.09291",1
"0.0931",1
"0.09338",1
"0.09404",2
"0.09435",1
"0.09439",1
"0.09457",1
"0.09489",1
"0.09496",1
"0.09501",1
"0.09537",2
"0.09567",1
"0.09575",1
"0.09576",1
"0.09636",1
"0.09641",1
"0.09657",1
"0.09659",1
"0.09781",1
"0.0979",1
"0.09795",1
"0.09801",1
"0.09811",1
"0.09824",2
"0.09869",1
"0.09894",1
"0.09904",1
"0.09925",1
"0.0993",1
"0.0995",1
"0.09957",1
"0.10016",1
"0.10034",1
"0.10042",1
"0.10046",1
"0.10056",1
"0.10066",1
"0.10084",1
"0.1009",1
"0.10124",1
"0.10132",1
"0.10134",1
"0.1015",1
"0.10154",1
"0.1016",2
"0.10174",1
"0.10204",1
"0.10232",2
"0.10238",2
"0.10244",1
"0.1025",1
"0.10264",1
"0.10364",1
"0.10404",1
"0.10472",1
"0.10494",2
"0.10504",1
"0.10508",1
"0.10518",1
"0.10532",1
"0.1058",1
"0.10626",1
"0.10642",1
"0.10664",1
"0.10668",1
"0.10678",1
"0.1069",1
"0.10694",1
"0.10702",1
"0.10816",2
"0.10818",1
"0.10828",1
"0.10842",1
"0.10904",1
"0.1094",1
"0.10952",1
"0.10964",1
"0.10968",1
"0.10976",1
"0.10982",1
"0.11054",3
"0.11092",1
"0.11096",2
"0.11118",1
"0.11156",1
"0.11188",1
"0.11206",1
"0.11236",1
"0.11262",1
"0.11276",1
"0.113",1
"0.11338",1
"0.11378",1
"0.1143",1
"0.1145",2
"0.11452",1
"0.11496",1
"0.1158",1
"0.1164",1
"0.11674",1
"0.11678",2
"0.11688",1
"0.1172",1
"0.1173",1
"0.11782",1
"0.11786",1
"0.11818",1
"0.11852",1
"0.11862",1
"0.11878",1
"0.11888",1
"0.11912",1
"0.11916",1
"0.11942",1
"0.1195",1
"0.11986",1
"0.11994",1
"0.12",1
"0.12002",1
"0.1202",1
"0.12028",1
"0.1206",1
"0.12098",1
"0.12126",1
"0.12182",1
"0.12204",1
"0.12212",1
"0.1234",1
"0.12362",1
"0.12382",1
"0.1241",1
"0.12412",1
"0.12416",1
"0.12446",1
"0.1246",1
"0.125",1
"0.12608",1
"0.1261",1
"0.12622",1
"0.1263",1
"0.12638",1
"0.1266",1
"0.12694",1
"0.1275",1
"0.12758",1
"0.12766",1
"0.12804",1
"0.12846",1
"0.12874",1
