geneType	KR_zinb_Was	KR_zinb_JSD	KR_kde_Was	KR_kde_JSD	PS_zinb_Was	PS_zinb_JSD	PS_kde_Was	PS_kde_JSD	deseq2_pval	mast_pval_glm	mast_pval_glmer
varDE	0.331	0.247	0.311	0.228	0.385	0.177	0.244	0.179	0.0751454672201199	7.44061309164858e-35	0.0657537405783402
meanDE	0.838	0.657	0.63	0.423	0.758	0.654	0.521	0.345	0.700182003112621	0.00491762322230314	0.504622560178217
EE	0.657	0.683	0.604	0.527	0.715	0.747	0.435	0.33	0.967559448951393	0.00358002355383145	0.381226497605486
EE	0.489	0.388	0.715	0.531	0.193	0.267	0.138	0.186	0.202552287591514	9.42289123448689e-05	0.0236426753481219
EE	0.42	0.286	0.231	0.26	0.294	0.218	0.199	0.223	0.0723310357701817	1.9976490217274e-95	0.103474524314207
meanDE	0.151	0.095	0.165	0.252	0.169	0.15	0.209	0.375	0.178517547248495	1.18486840706322e-05	0.593518288642213
meanDE	0.311	0.288	0.512	0.67	0.63	0.637	0.823	0.927	0.871766846895248	0.0322528586960205	0.202207738831595
EE	0.488	0.721	0.588	0.836	0.955	0.811	0.944	0.738	0.71420509975338	0.856559878137755	0.933336261222572
EE	0.205	0.327	0.528	0.711	0.131	0.233	0.654	0.682	0.519601606900331	0.186110661292018	0.135393120491241
EE	0.178	0.111	0.18	0.089	0.072	0.015	0.046	0.008	0.00430554087611156	1.38516581834043e-17	0.00150539750422502
EE	0.922	0.972	0.8	0.997	0.982	0.932	0.827	0.98	0.813294882199876	0.0654997678623696	0.716495530863383
EE	0.07	0.089	0.105	0.14	0.176	0.194	0.198	0.181	0.186379591940096	4.0470027508385e-20	0.0334027978326249
EE	0.48	0.728	0.683	0.3	0.461	0.748	0.879	0.785	0.479795452090493	0.303459683597229	0.725005752401924
varDE	0.045	0.032	0.06	0.449	0.086	0.036	0.054	0.439	0.000899006999002533	1.2080573790841e-15	0.000378064825131729
EE	0.027	0.007	0.003	0.003	0.026	0.008	0.026	0.008	7.06369734842407e-06	1.23976281804161e-90	2.84997791497455e-05
EE	0.057	0.047	0.105	0.301	0.033	0.015	0.042	0.178	0.0616756361920748	3.63944449925304e-18	0.0662030103860039
varDE	0.289	0.065	0.152	0.486	0.419	0.107	0.399	0.726	0.59438508070796	3.32841481534656e-11	0.001553710095709
varDE	0.734	0.642	0.564	0.695	0.455	0.355	0.319	0.428	0.37978036854296	3.77520126585359e-08	0.11300824842502
EE	0.031	0.04	0.034	0.843	0.066	0.066	0.042	0.916	0.0395916940417253	6.82034115462785e-05	0.0135645649274445
EE	0.948	0.913	0.58	0.867	0.78	0.637	0.647	0.743	0.819450144159651	0.0014641333614031	0.058003630627803
EE	0.028	0.007	0.033	0.087	0.048	0.044	0.088	0.118	0.0612460522394251	3.63089423831629e-22	0.00249102571072496
EE	0.083	0.176	0.096	0.229	0.059	0.143	0.084	0.165	0.0741813716895225	2.28146437734315e-65	0.0312369176987893
EE	0.047	0.106	0.144	0.352	0.186	0.193	0.344	0.555	0.199235608792394	3.62127544408441e-15	0.0346917840691477
EE	0.564	0.501	0.644	0.65	0.517	0.531	0.53	0.581	0.473535976221997	0.00332013191924635	0.256909403347632
EE	0.425	0.242	0.247	0.243	0.153	0.154	0.187	0.182	0.217787845688536	1.71772369653741e-63	0.130465615209023
EE	0.62	0.794	0.356	0.751	0.361	0.442	0.202	0.541	0.389594157543226	0.0266602395553785	0.172296973348318
EE	0.772	0.631	0.694	0.055	0.305	0.202	0.272	0.008	0.0280135169799607	1.07073387050384e-22	0.0977190721038991
