geneType	KR_zinb_Was	KR_zinb_JSD	KR_kde_Was	KR_kde_JSD	PS_zinb_Was	PS_zinb_JSD	PS_kde_Was	PS_kde_JSD	deseq2_pval	mast_pval_glm	mast_pval_glmer	ranksum_pval
meanDE	0.859	0.821	0.814	0.281	0.86	0.804	0.795	0.247	0.989174551398528	2.02314645444472e-15	0.690051898829944	2.41574232178214e-29
EE	0.191	0.271	0.132	0.122	0.189	0.293	0.147	0.157	0.737622011252781	0.251647066497895	0.804482549963495	0.687135406857732
EE	0.651	0.679	0.854	0.63	0.666	0.735	0.82	0.651	0.899824948547631	0.804153813386382	0.966242022110144	0.683619243378149
EE	0.028	0.035	0.017	0.713	0.026	0.035	0.018	0.716	0.00111072449870173	1.57416944117462e-35	0.00586281996165942	4.06826154121058e-42
EE	0.321	0.391	0.377	0.704	0.334	0.41	0.39	0.708	0.510759142673586	0.298996345644601	0.773934535708388	0.352098154256944
EE	0.0649999999999999	0.075	0.033	0.185	0.05	0.074	0.029	0.21	0.0409188747336897	2.60607103059638e-07	0.0548275658804864	0.00570004717016956
varDE	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.898889763738513	7.76232398026561e-28	1.01398300514428e-07	0.000343495574612948
meanDE	0.5	0.262	0.2	0.242	0.493	0.282	0.21	0.247	0.336560567491493	1.92183182055327e-55	0.209402630408502	9.71352686481921e-39
meanDE	0.044	0.032	0.012	0.782	0.049	0.032	0.024	0.782	0.00313663082461301	1.37926981002385e-23	0.00355501559860694	3.61878561716154e-18
varDE	0.656	0.828	0.75	0.657	0.594	0.795	0.68	0.722	0.581771789240028	2.88548057354665e-06	0.521840502988239	0.0393970647596996
EE	0.438	0.659	0.433	0.755	0.446	0.642	0.448	0.789	0.404422591405694	0.00540299819848424	0.593650839948996	6.47554582074304e-05
EE	0.941	0.724	0.995	0.151	0.956	0.683	0.99	0.126	0.981479105992078	0.131519494202505	0.905285086472573	0.00125723509908437
EE	0.927	0.582	0.919	0.608	0.949	0.595	0.926	0.58	0.774243598022373	0.454983989992009	0.822351151899437	0.743608460925835
EE	0.013	0.013	0.03	0.242	0.011	0.017	0.028	0.29	0.0240667354924823	1.28494313153852e-13	0.0488295788333622	1.62357276676636e-08
varDE	0.002	0.004	0.001	0.00900000000000001	0.005	0.005	0.001	0.01	0.0204510439551047	1.87300963014825e-34	2.64747221995602e-08	1.26708373665478e-21
meanDE	0.686	0.636	0.999	0.62	0.68	0.58	0.996	0.69	0.869716403754757	0.813356292431604	0.917938853289793	0.226122757744989
EE	0.901	0.841	0.867	0.994	0.894	0.848	0.877	0.992	0.775576919698023	0.315043353765578	0.934241455951161	0.157389988204716
EE	0.467	0.505	0.367	0.795	0.505	0.537	0.401	0.765	0.141917688899472	1.47193321938131e-08	0.126210463871197	0.0185241956429606
EE	0.785	0.613	0.684	0.793	0.779	0.59	0.652	0.844	0.506671584162776	0.0951034638878895	0.743457813838172	0.693261079003932
EE	0.398	0.446	0.396	0.351	0.281	0.323	0.276	0.337	0.227530959223838	2.19700200879675e-09	0.410276147216357	3.3746032816353e-20
