gene	DDcategory	Clusters.combined	Clusters.c1	Clusters.c2	nonzero.pvalue	nonzero.pvalue.adj	zero.pvalue	zero.pvalue.adj	combined.pvalue	combined.pvalue.adj
gene2428	NS	1	2	2	2.27595652524393e-06	3.56523442372262e-06	0.212231796857127	0.289403706624644	7.50783063924213e-06	9.79495191029631e-06
gene2429	DB	1	1	2	2.16604512104368e-13	1.04893226200662e-12	0.166240119587359	0.234235461789552	1.15064805327144e-12	3.15138117979168e-12
gene2430	DB	1	1	3	3.29255511744009e-11	1.1552824973474e-10	1.82643509043746e-10	9.77234400562491e-10	2.86010178647801e-19	1.18430715796191e-18
gene2431	DE	1	1	1	1.49693590856259e-11	5.55202058768711e-11	7.29165209245965e-13	4.92201899473289e-12	5.88019017444468e-22	2.73975080929281e-21
gene2432	DB	1	1	2	1.11022302462516e-16	8.13350201190591e-16	2.49362316011423e-34	1.07239202461041e-32	3.18682134396686e-48	2.33253163327858e-47
gene2433	DB	1	1	2	8.12737866939806e-06	1.16250722966538e-05	0.288821229060848	0.375411279047404	3.27743484866221e-05	4.00786896809808e-05
gene2434	DB	1	1	2	0	0	0.0683886762990417	0.108260641542853	0	0
gene2435	DE	1	1	1	0	0	2.70516151392927e-21	4.02204218400004e-20	0	0
gene2436	DE	2	1	1	0	0	0.00488351563740889	0.0101305087094486	0	0
gene2437	DE	1	1	1	3.57810447937368e-11	1.24726953529366e-10	0.00018920610146444	0.000498504481427554	2.27649622555611e-13	6.62976694737856e-13
gene2438	DB	1	1	2	8.1666764462085e-09	1.92610293542653e-08	0.0053222000026397	0.0109629030493874	1.08049175856743e-09	2.22437829864629e-09
gene2439	DB	1	1	2	2.18713935851156e-14	1.20337791389907e-13	3.07937513804819e-05	9.10943850933709e-05	2.88540460095849e-17	1.08575902199755e-16
gene2440	DE	1	1	1	1.4432899320127e-15	9.33413052231336e-15	4.33292338615928e-14	3.31032035968367e-13	4.12377907208109e-27	2.26270456629964e-26
gene2441	DB	1	1	2	8.22675261247241e-13	3.66447777838415e-12	1.23860308078926e-19	1.5504829488628e-18	7.37339056412229e-30	4.32140106322186e-29
gene2442	DE	1	1	1	0	0	2.38162112403945e-15	2.07522738248274e-14	0	0
gene2443	DB	1	1	3	8.79726792524238e-08	1.74074062334749e-07	0.315738111289108	0.404288322747171	5.11058920818894e-07	7.66780076247403e-07
gene2444	DE	1	1	1	8.44422487489283e-09	1.98687644115125e-08	9.56680944812442e-13	6.36646495636832e-12	3.81827671404585e-19	1.5713072897308e-18
gene2445	DB	1	1	2	4.7918385186474e-06	7.11087148009259e-06	0.00963233290521014	0.0188522219008505	8.2579788322133e-07	1.21018191349526e-06
gene2446	DB	1	1	2	0	0	2.92166374616378e-16	2.78218908399573e-15	0	0
gene2447	NS	1	1	1	1.88090588659762e-08	4.17515180154854e-08	0.0148726185587674	0.0277245574112282	6.43322475793443e-09	1.21238629124795e-08
gene2448	NS	1	2	2	9.57097813225616e-07	1.58755598295769e-06	0.0823359597047699	0.127389814637999	1.36773894655468e-06	1.9504298703097e-06
gene2449	DB	1	1	2	4.60545268587964e-10	1.34318707572137e-09	0.547048959885752	0.630966068058434	5.82029299454324e-09	1.10389625311394e-08
gene2450	DB	1	1	2	1.30252141211651e-05	1.80654842179821e-05	0.0503943302314315	0.0824850107471292	1.00011920929139e-05	1.28671161970916e-05
gene2451	DB	1	1	2	4.30625535230433e-11	1.47854261023325e-10	0.395647757183919	0.487865948776656	4.39495155587639e-10	9.37339707998163e-10
gene2452	DB	1	1	2	6.40194312333531e-05	8.0692524006117e-05	0.277353560260819	0.362567597405833	0.000211985291143866	0.000240243990529952
gene2453	DB	1	1	2	7.61313749819692e-08	1.52262749963938e-07	0.15344816082538	0.218598724566734	2.25060269507214e-07	3.53312824972079e-07
gene2454	DB	1	1	2	0	0	3.03741726266255e-17	3.13905693592219e-16	0	0
gene2455	DB	1	1	2	4.0009840333588e-05	5.19102696511035e-05	0.506218838080636	0.593035220534125	0.000239139318120843	0.000269832799008003
gene2456	DB	1	1	2	1.24554972757984e-06	2.03355057564056e-06	0.349154635425469	0.440310252052392	6.80522593564313e-06	8.91319703424116e-06
gene2457	DE	1	1	1	8.29736834795369e-10	2.31124466516816e-09	4.89207080495491e-70	1.95658371844172e-67	7.36745544947249e-77	5.6618293559827e-76
gene2458	DB	1	1	2	1.91927140846815e-09	5.01934333695495e-09	0.00662539058333057	0.0133829543626417	3.31735104586203e-10	7.16683995865413e-10
gene2459	DB	1	1	2	5.09659171532562e-07	8.85593695104364e-07	0.0426170703448084	0.0714512566942198	4.04973292070579e-07	6.15811886820877e-07
gene2460	DB	1	3	1	3.19809512205893e-10	9.58949062086636e-10	0.00187657339934617	0.00423075271177284	1.7489217395978e-11	4.30239050331563e-11
gene2461	DZ	1	1	1	1.04383091059645e-09	2.86079043671519e-09	0.00152303727403603	0.0034778119197871	4.47803732959992e-11	1.05520761816787e-10
gene2462	DB	1	1	2	1.17783227615575e-10	3.77661651673188e-10	0.0467313889024281	0.0773929314652557	1.48202711537221e-10	3.31735224481747e-10
gene2463	DB	1	1	2	4.87387907810444e-14	2.56182868757132e-13	0.149015847777987	0.213320175219618	2.43712296772471e-13	7.07181129553779e-13
gene2464	DB	1	1	2	1.11022302462516e-16	8.13350201190591e-16	0.000115611751599217	0.000314871774273795	6.00727212199146e-19	2.44695402117778e-18
gene2465	DB	1	1	2	0	0	2.22450171294451e-20	3.03648279894934e-19	0	0
gene2466	DB	1	1	2	0.000264310273798474	0.000306136121382335	0.979625607257828	0.984796434894479	0.00239738028340741	0.00252988290031121
gene2467	DE	1	1	1	0.012070702960515	0.0122935230660879	0.646154601443863	0.719058243871655	0.0456560946340264	0.046070731214961
gene2468	DB	1	1	2	2.40634884651758e-06	3.75478657541265e-06	0.00126166845896316	0.00292185466220217	6.25805162570585e-08	1.05310082048058e-07
gene2469	DB	1	1	2	0	0	6.81530776032866e-09	3.09220911939132e-08	0	0
gene2470	DE	1	1	1	0	0	3.99708119832938e-05	0.000116391163106795	0	0
gene2471	NS	1	1	1	0.0871966053335896	0.0875687726172128	0.655185453061068	0.726946396600345	0.220660241376826	0.220936411891691
gene2472	DE	1	1	1	0	0	0.000489227548759932	0.00121043339391608	0	0
gene2473	DB	1	1	2	1.77253767219554e-11	6.49578624716643e-11	0.190129112492712	0.263349397546182	9.23951948058751e-11	2.11430651729691e-10
gene2474	DE	1	1	1	1.42529833646599e-06	2.30490937774972e-06	0.0352446386325613	0.0607066891519936	8.94497523358237e-07	1.30393224979335e-06
gene2475	DB	1	1	2	1.00132502289796e-09	2.75089292004934e-09	0.00276745537296216	0.00604007517826038	7.65155884206988e-11	1.76303199126034e-10
gene2476	DB	1	1	2	5.76648961914117e-09	1.39793687736756e-08	0.0484970037003167	0.0798040593702599	6.43141020954018e-09	1.2123299169727e-08
gene2477	DB	1	1	2	0.00143599033172159	0.00153844777813005	4.83950488806869e-06	1.60162182869928e-05	1.37492716942572e-07	2.21896658370099e-07
gene2478	DB	1	1	2	6.29769853710549e-07	1.07952835433563e-06	0.118301040520749	0.174721200724792	1.29726863556707e-06	1.85423424772852e-06
gene2479	DB	3	3	1	0	0	0.00357628324770914	0.00760209665118931	0	0
gene2480	DE	1	1	1	1.79700698765828e-12	7.65687359688234e-12	4.75751036983973e-16	4.41989842605668e-15	5.4139624497978e-26	2.89130170883728e-25
gene2481	NS	1	1	1	2.01598792104463e-08	4.44294858632425e-08	0.269725480464796	0.354624279789267	1.08915366771664e-07	1.78144590991331e-07
gene2482	DZ	1	1	1	1.21494991844884e-09	3.28253946220557e-09	1.04007839835138e-08	4.63228680869304e-08	5.04319325496909e-16	1.75339183136691e-15
gene2483	DB	1	1	2	1.16018306073329e-13	5.81545393851272e-13	0.0485100099445074	0.0798090435101017	1.90290046945398e-13	5.57626511195306e-13
gene2484	DB	1	1	2	1.98662114725412e-06	3.14028239044318e-06	0.128245329434828	0.187367011899396	4.12299276566575e-06	5.54538367944284e-06
gene2485	DZ	1	1	1	7.44904249394551e-10	2.09169322399312e-09	9.63124469739295e-30	2.91819417933508e-28	6.37300157276818e-37	4.2771822636028e-36
gene2486	DE	1	1	1	5.6425975003549e-12	2.22917432112786e-11	1.16971169427681e-09	5.74960692002627e-09	3.13293498367956e-19	1.29527027749026e-18
gene2487	DB	1	1	2	0	0	9.62580546731206e-06	3.0566422363251e-05	0	0
gene2488	DB	1	1	2	0.000543030737126138	0.000606145653273211	0.55969010787343	0.641858232670905	0.00276536323581635	0.00290670160117341
gene2489	DB	1	1	2	1.34667742596184e-05	1.86488132381768e-05	0.00401292589957986	0.00845833841126201	9.58340104688905e-07	1.39243022838926e-06
gene2490	DB	1	1	2	0	0	5.6153068791527e-18	6.13618029048395e-17	0	0
gene2491	DB	1	1	2	2.32432961766449e-11	8.38351530266723e-11	0.691598686944417	0.756992049379911	4.1559994827895e-10	8.88846480472099e-10
gene2492	DB	1	1	3	1.33250884770675e-08	3.02928979302472e-08	8.81737475558683e-13	5.90210716903256e-12	5.50927254740624e-19	2.24868267241071e-18
gene2493	DB	1	1	2	0.00126218859001392	0.00135901867027071	7.88880865254933e-08	3.18378306820091e-07	2.39272088290854e-09	4.74746206926297e-09
gene2494	DB	1	1	2	1.1092944263158e-07	2.15868533459654e-07	0.254432173434463	0.337401020441358	5.18844754789522e-07	7.77732441131006e-07
gene2495	DB	1	1	2	7.88428086387905e-05	9.8108954597966e-05	0.83341478025978	0.873223787685453	0.000698502425690029	0.000760274749050371
gene2496	DB	1	1	2	4.96273022676519e-11	1.69087912325901e-10	0.765391094516649	0.818607215542007	9.4937371300578e-10	1.96354439091164e-09
gene2497	NS	2	1	1	0.000391114394288627	0.000444385052451217	0.0792046143020152	0.123260254825257	0.000352599494860367	0.000392485871557386
gene2498	DB	1	1	3	0.00222021610357059	0.00234788219809184	0.000218437643466157	0.000569518484382591	7.53616310595865e-06	9.82870962629103e-06
gene2499	DB	1	1	2	1.3272353327487e-08	3.01988223329471e-08	0.0378809498010386	0.064648968947836	1.12675083999655e-08	2.06790702454058e-08
gene2500	DB	1	1	2	1.96878758903507e-05	2.66277273242275e-05	0.918481974007081	0.937109350775847	0.000215558647332509	0.000244224497756702
gene2501	DB	1	1	2	4.77007322530199e-12	1.90707575224467e-11	0.00727069964240791	0.0145432174142588	1.10955867464708e-12	3.04719169144409e-12
gene2502	DB	1	1	2	4.97567361978923e-07	8.66464713938047e-07	5.7055951434519e-13	3.90411082570332e-12	1.2407687751167e-17	4.74935416312611e-17
gene2503	DZ	1	2	2	0	0	0.00141459015003731	0.00325714064771113	0	0
gene2504	DE	1	1	1	2.39369635224307e-11	8.60974213272007e-11	2.75166200291912e-07	1.04463902996441e-06	2.67164051933442e-16	9.45713458171476e-16
gene2505	DZ	1	1	1	1.52414442678994e-05	2.093964522466e-05	0.0015156743420755	0.00346198716797884	4.29296051512877e-07	6.50202274158088e-07
gene2506	DZ	1	1	1	2.70916622469031e-12	1.12122761497788e-11	0.00143736819906994	0.00330293255511648	1.33096649860621e-13	3.94945548547837e-13
gene2507	DB	1	3	1	8.67034976334002e-05	0.000107223370083042	0.746965948747758	0.803412750307021	0.000689402684305366	0.000750676667271394
gene2508	DB	1	1	2	0.000818836691563685	0.000898832811815241	8.94486124308941e-13	5.97244950613291e-12	2.62580163920267e-14	8.21204578327654e-14
gene2509	NS	1	1	1	2.0148342975812e-05	2.72146656448293e-05	0.153184990274002	0.218262689205868	4.22485034398303e-05	5.10941840542166e-05
gene2510	DB	1	1	2	7.65957838100295e-06	1.10110740427715e-05	1.58068121227276e-09	7.66759794843532e-09	4.00086993695272e-13	1.14147501767553e-12
gene2511	DB	1	1	2	4.12496310442378e-07	7.28470305417004e-07	0.406321288853396	0.497651812821668	2.78253663191249e-06	3.82301385732715e-06
gene2512	DB	3	3	1	1.3124982212176e-08	2.99059691533488e-08	9.53760970452726e-06	3.03224721885984e-05	3.84418403882242e-12	1.00501543498625e-11
gene2513	DB	1	1	2	0.000617233287993124	0.000684768590201774	3.73014439747187e-22	5.90840099710445e-21	1.32917364601823e-23	6.57193397289605e-23
gene2514	DB	1	1	2	3.4191450936083e-06	5.20318827256352e-06	6.08027912044449e-13	4.14630457667821e-12	8.67221263615405e-17	3.18392386825298e-16
gene2515	DZ	1	1	1	0.000133447346874593	0.000160224939966494	5.67162520682663e-07	2.07156758125143e-06	1.83951270613187e-09	3.69937195803292e-09
gene2516	DB	1	1	2	8.61274627939057e-06	1.22798022162047e-05	0.0184996712645314	0.0339089987270822	2.65325566028232e-06	3.65462212160099e-06
gene2517	DB	1	1	2	5.68566835834616e-08	1.16122917709393e-07	0.923541943567619	0.941250070472716	9.326885448999e-07	1.35688458977981e-06
gene2518	DB	1	1	2	0	0	2.25781588213241e-05	6.79980016610585e-05	0	0
gene2519	DE	1	1	1	5.8000296787597e-09	1.40521615475704e-08	1.13338830532294e-06	4.03290616293516e-06	2.21242008729292e-13	6.45020433613097e-13
gene2520	DE	1	1	1	6.67755378024326e-05	8.39415937177028e-05	1.56984452522987e-22	2.58378320109335e-21	6.37559831507045e-25	3.28005058010055e-24
gene2521	DB	1	1	2	3.04352432145549e-10	9.15001674996014e-10	0.0284157476314819	0.0499555088580711	2.28954735312942e-10	5.02920890308495e-10
gene2522	DZ	1	1	1	0.00265934981933846	0.00279784305032979	2.3253101762606e-08	9.93598082260071e-08	1.51543623802167e-09	3.06923795042364e-09
gene2523	DB	1	1	3	1.66977542903624e-13	8.1952168296257e-13	3.49022202796961e-10	1.80467265686677e-09	3.04197066736792e-21	1.37335018842796e-20
gene2524	DB	1	1	2	1.42213725240481e-08	3.21386949696002e-08	1.17019128213561e-09	5.74960692002627e-09	6.59588467193882e-16	2.26955171507572e-15
gene2525	DZ	1	1	1	2.19710871662837e-06	3.45457345381819e-06	9.7307248958647e-05	0.000268030538712196	4.97414642134332e-09	9.49491084961741e-09
gene2526	DZ	1	1	1	1.14686038443779e-13	5.75227779028357e-13	4.77311310610637e-05	0.000137289218754926	2.2305021113588e-16	7.93420048504686e-16
gene2527	DE	1	1	1	0	0	8.72637973870406e-13	5.8509900695636e-12	0	0
gene2528	DB	1	1	2	6.62244785010202e-07	1.13228430863039e-06	0.0627416059964365	0.100133700392158	7.47754225782642e-07	1.10166368439432e-06
gene2529	DE	1	1	1	1.58297924769402e-05	2.16660974876854e-05	0.00187527798492518	0.00422902413346956	5.44208472197504e-07	8.14378559218113e-07
gene2530	NS	1	1	1	0.0237248841553671	0.0239948259472739	0.38638518314067	0.478954762117189	0.0521796309244065	0.0526004343996033
gene2531	DB	1	1	2	3.54867141227899e-08	7.46303136125971e-08	0.00287017565773996	0.00624212481953832	2.44523730267706e-09	4.84565232138134e-09
gene2532	DE	1	1	1	0	0	3.26600798400829e-20	4.38335534632253e-19	0	0
gene2533	DB	1	1	2	1.84297022087776e-14	1.02316181589327e-13	1.43226547194695e-32	5.56150073306004e-31	2.7966347128287e-44	1.99938138540032e-43
gene2534	DB	1	1	2	0.000402990380329427	0.000457034738111059	6.53283185303955e-07	2.36881786003914e-06	6.07036808054293e-09	1.14860323189081e-08
gene2535	NS	1	2	2	1.67019960639614e-07	3.15653126651763e-07	0.464392907131558	0.554016236263286	1.34743615328655e-06	1.92284859548562e-06
gene2536	NS	1	2	2	2.89151724175429e-06	4.44336110911148e-06	0.0429371490889405	0.0719275927879445	2.09841117252304e-06	2.92563425935593e-06
gene2537	DB	1	1	2	4.82228601494938e-09	1.18410951871071e-08	0.84757370579771	0.884045126180191	8.30339534105459e-08	1.37711314626265e-07
gene2538	DB	1	1	2	2.06864125829043e-09	5.37833281323478e-09	0.209037561726989	0.285827599359689	9.75617766499504e-09	1.80252705126929e-08
gene2539	DB	1	1	2	2.70618629727437e-08	5.84174052298839e-08	0.00340171355160933	0.00726965180318541	2.21935980838768e-09	4.4232382827856e-09
gene2540	NS	1	1	1	0.0024034684113694	0.00253630751760391	0.897964787440102	0.922569517267246	0.015406453290003	0.0157248821536137
gene2541	NS	1	1	1	8.75652453102838e-07	1.46246756259347e-06	0.267709558439425	0.352553302264893	3.81311933991206e-06	5.14851556443823e-06
gene2542	DB	1	1	2	0	0	1.07640965695731e-09	5.31165999136429e-09	0	0
gene2543	DB	1	1	2	9.45492684145677e-10	2.60466304172363e-09	0.14890905061257	0.213233708530244	3.33449024980597e-09	6.49365189835632e-09
gene2544	DE	1	1	1	0	0	0.286158177085637	0.372629087203355	0	0
gene2545	DB	1	1	3	5.51812530114049e-08	1.12787435894542e-07	0.851932127836898	0.887896428738417	8.40216799463954e-07	1.22981887105275e-06
gene2546	DE	1	1	1	0	0	3.25396544740302e-08	1.36919882239752e-07	0	0
gene2547	NS	1	1	1	0.000383960668483674	0.000436753213119492	0.205627515726776	0.281935978453631	0.000824793826062166	0.000892754783993686
gene2548	DE	1	1	1	1.06879515024971e-05	1.50349238649511e-05	3.17250720246812e-09	1.4901283096032e-08	1.08555656350203e-12	2.98537384256315e-12
gene2549	DB	1	1	2	1.13293369130574e-08	2.60369707855384e-08	0.000126903191343308	0.00034375165172879	4.06416608618095e-11	9.60511925833016e-11
gene2550	DB	1	1	2	9.37210931084564e-09	2.1891058244311e-08	0.139562310012098	0.201618009352858	2.80626961128941e-08	4.90178098041818e-08
