geneType	KR_zinb_Was	KR_zinb_JSD	KR_kde_Was	KR_kde_JSD	PS_zinb_Was	PS_zinb_JSD	PS_kde_Was	PS_kde_JSD	deseq2_pval	mast_pval_glm	mast_pval_glmer	ranksum_pval
EE	0.539	0.786	0.689	0.663	0.465	0.762	0.639	0.634	0.905825487589698	0.226537063819303	0.627049287163475	0.400839817024684
EE	0.722	0.759	0.708	0.382	0.736	0.767	0.717	0.401	0.201335543211687	0.201041600939771	0.377352377793021	0.150178146276079
EE	0.472	0.394	0.377	0.553	0.426	0.361	0.346	0.523	0.309229586552687	0.00979106081637618	0.591098731427103	0.0218684221649849
EE	0.964	0.823	0.982	0.258	0.966	0.83	0.982	0.253	0.990857907034192	0.876829869884225	0.972863723509278	0.459211434867419
EE	0.74	0.813	0.557	0.423	0.726	0.79	0.557	0.439	0.336652671958277	0.02288789058004	0.321004581347946	0.009165272695354
EE	0.106	0.047	0.211	0.846	0.113	0.047	0.24	0.843	0.752324176422773	0.372233630827966	0.865661607806339	0.201201149181139
meanDE	0.027	0.019	0.059	0.199	0.042	0.03	0.078	0.226	0.0396157633940331	0.000451062065882612	0.047864701764175	0.00010873977432363
EE	0.179	0.145	0.334	0.993	0.214	0.164	0.345	0.98	0.395442984934895	0.415057882491679	0.81827891632586	0.373587296988889
EE	0.137	0.259	0.191	0.433	0.139	0.269	0.195	0.462	0.0993217043155637	3.38800251188435e-16	0.154753703471678	9.38749749322395e-11
EE	0.026	0.107	0.062	0.591	0.029	0.116	0.068	0.654	0.0379701190837991	0.00218572077340589	0.0140287727519959	0.0043368930903452
EE	0.876	0.934	0.926	0.997	0.878	0.918	0.927	0.996	0.819954911484471	0.661856091880386	0.821640568747373	0.637964762066159
EE	0.312	0.244	0.491	0.197	0.296	0.246	0.447	0.198	0.519877981064994	0.00613774266911652	0.261221045609755	0.122313357536282
meanDE	0.938	0.989	0.599	0.842	0.916	0.992	0.614	0.85	0.699845424485109	0.746373318694621	0.990549424090512	0.397287771927299
EE	0.766	0.543	0.797	0.823	0.794	0.546	0.805	0.821	0.905817723352649	0.188623052196506	0.570986504595695	0.702876013556433
EE	0.41	0.268	0.57	0.175	0.415	0.263	0.523	0.164	0.406768304329835	0.0513032386807527	0.153499294144161	0.0513755302970733
EE	0.574	0.413	0.904	0.387	0.601	0.448	0.892	0.411	0.86586326910028	0.873830306772556	0.959220335857128	0.843451552177994
EE	0.26	0.726	0.112	0.341	0.207	0.668	0.06	0.235	0.749511437997085	0.221946695103193	0.359333188204319	0.495015682243866
EE	0.842	0.493	0.838	0.47	0.839	0.497	0.849	0.467	0.935747803216806	0.926716816397432	0.863903824438798	0.692126248365325
meanDE	0.035	0.025	0.031	0.032	0.048	0.044	0.042	0.042	0.0275005044533672	4.51064522102347e-11	0.0697971571267873	5.668291411927e-12
EE	0.225	0.406	0.266	0.171	0.21	0.371	0.253	0.164	0.259363753108946	0.000189644150407055	0.458608760884412	0.0011975455019511
meanDE	0.239	0.274	0.33	0.26	0.263	0.302	0.337	0.302	0.276896187892116	0.00303614169501449	0.34563541769208	0.0018267229091255
EE	0.616	0.523	0.831	0.348	0.629	0.504	0.834	0.347	0.588578574366801	0.398640067490826	0.443080449045671	0.286534092874071
EE	0.983	0.878	0.904	0.833	0.98	0.897	0.917	0.832	0.712882275792568	0.247813605881753	0.604180873638928	0.154658128788102
EE	0.495	0.549	0.588	0.924	0.51	0.554	0.619	0.927	0.998335895334231	0.51534390667769	0.782590683391742	0.499884502682857
