geneType	pval_M_zinb	pval_M_kde	pval_S0_zinb	pval_S0_kde	pval_S1_zinb	pval_S1_kde	deseq2_pval	mast_pval_glm	mast_pval_glmer
EE	0.803	0.734	0.809	0.731	0.805	0.769	0.632128171357471	0.0137874777034942	0.654964965036733
EE	0.684	0.784	0.667	0.8	0.673	0.803	0.823981072390435	0.349879968036135	0.663682272974339
varDE	0.206	0.148	0.222	0.151	0.245	0.176	0.610816289650298	3.33006479086064e-11	0.23708164176656
EE	0.999	0.96	0.994	0.966	1	0.956	0.693477874500439	0.525916889050309	0.779779357212859
varDE	0.002	0.001	0.001	0.001	0.002	0.001	0.00115521491062812	2.74690960868784e-21	0.70676230611555
varDE	0.141	0.094	0.102	0.068	0.1	0.086	0.706926706477701	0.000123306307181941	0.023620897881475
meanDE	0.057	0.057	0.037	0.038	0.058	0.06	0.108095526237392	2.51499521462888e-09	0.0928294515224429
EE	0.661	0.771	0.64	0.718	0.673	0.746	0.432728015421505	0.604431905050515	0.583689213415523
EE	0.636	0.69	0.639	0.729	0.62	0.707	0.387254989515082	0.000882999790826738	0.750293982846683
EE	0.977	0.932	0.972	0.938	0.975	0.942	0.841855718934078	0.782824182210765	0.752498511561814
EE	0.032	0.068	0.043	0.099	0.047	0.092	0.887426695364598	0.933194951264138	0.820006373076993
EE	0.191	0.255	0.177	0.267	0.207	0.253	0.185229868852052	0.229896920860157	0.318471361790608
varDE	0.647	0.744	0.649	0.737	0.632	0.713	0.706017214359695	0.0339543236065857	0.390259066147965
EE	0.409	0.526	0.409	0.562	0.412	0.527	0.141637005427832	8.49810870191996e-06	0.0691454145753768
EE	0.203	0.779	0.216	0.764	0.227	0.758	0.962777475228427	0.138347081769214	0.450708613887757
varDE	0.192	0.073	0.208	0.051	0.23	0.048	0.625240407971576	4.34223090472845e-07	0.0363050304973349
EE	0.998	0.882	0.999	0.895	0.996	0.901	0.759366719629856	0.490712088510693	0.991879963693122
EE	0.313	0.559	0.242	0.548	0.262	0.556	0.553605388869011	0.402606816238921	0.582454461682132
EE	0.241	0.688	0.272	0.683	0.265	0.696	0.164538035470479	0.0649018652977137	0.123334600586817
varDE	0.104	0.017	0.101	0.019	0.106	0.028	0.323985048897989	1.34270590370755e-16	0.166821817625761
EE	0.65	0.953	0.636	0.957	0.605	0.934	0.509882995782116	0.0116736812675781	0.534579764486083
EE	0.204	0.263	0.185	0.225	0.218	0.26	0.148921322819656	2.90521388524825e-12	0.151033326062388
EE	0.199	0.479	0.138	0.416	0.14	0.4	0.298335127894534	0.00568183373573961	0.283470122063484
EE	0.079	0.764	0.091	0.736	0.086	0.753	0.468078966534963	0.0380891343117292	0.336395120347504
EE	0.925	0.781	0.94	0.721	0.891	0.805	0.292720500882024	0.00373413410919662	0.436006032764966
EE	0.391	0.229	0.441	0.243	0.409	0.226	0.914728468202607	0.946732714463313	0.785706503371459
varDE	0.023	0.035	0.011	0.042	0.025	0.054	0.240992695953492	5.05697332665566e-11	0.00207310587714372
meanDE	0.356	0.081	0.423	0.09	0.382	0.064	0.011474907479129	3.54907799278795e-12	0.0141839181846679
EE	0.223	0.403	0.223	0.457	0.241	0.465	0.0653252680708787	2.37942222736037e-16	0.0342789274886829
varDE	0.313	0.287	0.303	0.263	0.297	0.271	0.288757994213611	1.14751881458989e-08	0.118183352307064
EE	0.743	0.712	0.811	0.691	0.732	0.688	0.571860234639265	0.292432484968338	0.352519626617925
EE	0.946	0.352	0.966	0.329	0.942	0.335	0.426642214188476	0.127236396938908	0.433221841598452
varDE	0.318	0.307	0.338	0.345	0.33	0.322	0.877584955559612	6.99064378538396e-05	0.0551808988203662
varDE	0.012	0.091	0.011	0.084	0.016	0.083	0.727298480430217	4.73532744717949e-13	2.05699638399458e-05
EE	0.53	0.06	0.55	0.058	0.587	0.081	0.616571339940526	0.268582801789259	0.5618235075765
EE	0.291	0.282	0.326	0.294	0.315	0.309	0.366816124526516	0.00618694743928601	0.241114122164852
meanDE	0.145	0.192	0.122	0.149	0.132	0.163	0.0370844628977219	3.16048750821891e-08	0.0541815033156225
EE	0.409	0.656	0.456	0.643	0.455	0.67	0.135037460973203	0.000506455252417765	0.0745908153511879
EE	0.652	0.509	0.686	0.555	0.661	0.544	0.913044435667305	0.0752981742761484	0.733957095210685
EE	0.841	0.505	0.888	0.529	0.876	0.548	0.386721953487071	0.127448796966578	0.435697180082896
EE	0.246	0.512	0.244	0.543	0.221	0.501	0.545902768845327	0.0702261957495543	0.501449314196694
EE	0.958	0.166	0.981	0.165	0.935	0.163	0.363392112849133	0.238457935255961	0.45737707954292
EE	0.371	0.192	0.429	0.193	0.414	0.197	0.208161731394358	1.00632836113882e-06	0.0554061599527674
EE	0.09	0.018	0.071	0.03	0.077	0.02	0.909938916327351	0.256132758137356	0.188982387691568
EE	0.64	0.672	0.62	0.655	0.665	0.679	0.679868137826369	0.479707946159743	0.588061197237353
EE	0.879	0.997	0.862	0.998	0.887	1	0.775427319843054	0.701982390264471	0.893996425763516
EE	0.26	0.282	0.208	0.237	0.256	0.295	0.0779595984585526	5.02833855120951e-21	0.0931441049704673
EE	0.319	0.377	0.182	0.239	0.194	0.248	0.419276398073968	0.0187885376436461	0.329384654254669
EE	0.698	0.708	0.746	0.732	0.709	0.705	0.55449171374549	0.030726480038492	0.519942754689062
meanDE	0.109	0.246	0.115	0.198	0.108	0.263	0.0468048768723208	1.909458896269e-20	0.0842150206585827
varDE	0.031	0.139	0.017	0.144	0.028	0.151	0.750413657494398	6.88676525582882e-06	0.000107593828906147
EE	0.947	0.867	0.914	0.862	0.94	0.875	0.864337960668493	0.724131488169152	0.99498990511258
EE	0.862	0.872	0.893	0.951	0.846	0.619	0.932871521978532	0.0537435265867197	0.677650065377513
EE	0.872	0.948	0.832	0.945	0.866	0.952	0.779281507238886	0.675649574573908	0.831455424943805
EE	0.007	0.005	0.003	0.004	0.005	0.007	3.60478862058294e-06	1.07862610202208e-112	2.99728229165604e-06
EE	0.421	0.835	0.404	0.858	0.41	0.871	0.675721082641892	0.0321987489795167	0.80852727733994
EE	0.761	0.981	0.781	0.977	0.753	0.979	0.723627276573873	0.384229645390469	0.771689758913059
